1 Author,median
luis bívar,2.696161598597599
luis pacheco,2.68259120580551
luiz pizarro –,2.71630613829008
luiza caetano,2.71630613829008
lula cardoso ayres,2.6980641892094304
luzia lage,2.158990787629894
luís athouguia,4.1590685734434425
luís camacho,0.0
luís cruz,2.6890518647007946
luís cunha,2.71630613829008
luís demée,2.7130190648398838
luís dourdil,2.709731991389688
luís ferreira da silva,1.1115428526511242
luís filipe de abreu,3.3733760606601773
luís geraldes,2.709731991389688
luís guimarães,2.6903276975074704
luís horácio carvalho,2.696161598597599
luís liberato,2.6714470316283463
luís osório,2.68259120580551
luís pinto coelho,4.757818716086741
luís ralha,2.6980641892094304
luís silveirinha,2.68259120580551
luís soares,2.6980641892094304
luís vieira baptista,2.6890518647007946
luísa barros,2.68259120580551
luísa bastos,3.0667463394391405
luísa correia nogueira,2.578399123191402
lívio de morais,1.908046168399568
m. tavares (?),2.6890518647007946
macias wlosinski,2.68259120580551
magalhães,3.143328291827626
magnus de monserrate,2.6890518647007946
maija isola,2.709731991389688
malangatana,5.768773366105372
maluda,4.422681497472934
man,2.699448672047795
manolo mantero,2.6935580269551123
manuel amado,4.00575789378332
manuel amorim,2.709731991389688
manuel baptista,3.2267813337406395
manuel cabanas,2.699448672047795
manuel caeiro,2.68259120580551
manuel caldeira martins,2.6935580269551123
manuel cargaleiro,6.025916115033887
manuel da silva,2.707185163749755
manuel figueira,2.71630613829008
manuel gamboa,3.4912705455034634
manuel lapa,1.8064879942597918
manuel lima,2.71630613829008
manuel ribeiro de pavia,2.3470760910103174
manuel tavares,2.6890518647007946
manuel valente alves,2.7026790014954374
manuela madureira,2.709731991389688
manuela pinheiro,2.6980641892094304
marcelino vespeira,2.68259120580551
marcelo,2.71630613829008
margarida cândida jorge,1.7927012431338631
margarida d'orey menéres,1.670211764698752
margarida leão,2.68259120580551
maria adelaide cabral,2.6890518647007946
maria adelaide lima cruz,2.6903276975074704
maria antónia santos,2.6980641892094304
maria beatriz,2.696161598597599
maria cremilda,2.68259120580551
maria da conceição valdágua,2.6980641892094304
maria de lurdes marques ferreira,2.6980641892094304
maria do rosário camisa,2.709731991389688
maria fernanda amado,4.170008960368366
maria gabriel,0.0
maria helena reis,2.2444672972791193
maria helena vieira da silva,5.451810641104018
maria josé aguiar,2.6890518647007946
maria josé oliveira,2.709731991389688
maria keil,3.793453848641526
mariana quito,0.6412373393653842
marianne brandt,2.68259120580551
marta anahory,2.71630613829008
marta moura,2.709731991389688
martha telles,2.6980641892094304
martim lapa,2.68259120580551
martins correia,4.474997465144009
martins gomes,1.9597503822198399
matilde marçal,2.6935580269551123
max braumann,2.6903276975074704
max papart,2.6890518647007946
max römer,2.6980641892094304
mel ramos,2.696161598597599
menez,4.4292585760463306
michael barrett,5.2391858250277155
michael biberstein,2.709731991389688
michael graves,0.0
michael sodeau,2.71630613829008
miguel barbosa,2.71630613829008
miguel barros,2.6903276975074704
miguel d'alte,4.757105397022673
miguel justino,2.68259120580551
miguel yeco,4.695217376797724
miguel ángel bedate,2.6980641892094304
minoru niizuma,2.6980641892094304
moisés,2.6980641892094304
molina,4.13666550289537
mário américo,1.9998007556761948
mário botas,3.513147959119349
mário cesariny,5.502553392362539
mário de oliveira,2.68259120580551
mário dionísio,2.709731991389688
mário lopo,2.6890518647007946
mário rita,2.709731991389688
mário silva,2.93094886860115
mónica capucho,4.929816399741352
nadir afonso,5.760538382555193
narciso conillo martins,4.274135141414237
nardos,2.68259120580551
natália correia,2.68259120580551
neves e sousa,1.3987075694568631
nicolas morin,2.709731991389688
nicolas van parys,2.6903276975074704
nicolau tudela,2.4592529694092904
nikias skapinakis,3.2831816742227615
no information,1.908861714977368
noel fignier,2.639785396886873
noronha andrade,3.6092488180198194
noronha da costa,4.657734417525609
nuno calvet,2.6890518647007946
nuno de siqueira,3.890687895436175
nuno felix da costa,2.6858215352531523
nuno medeiroso,2.699391928045241
nuno pintocoelho,2.707185163749755
nuno san payo,4.485431040831778
nuno teixeira lopes,2.709731991389688
octávio sérgio,2.699391928045241
olavo d'eça leal,2.699448672047795
ophelia marçal,1.3361694117590017
oscar fuster,0.0
oskar pinto lobo,2.6890518647007946
p. barreiros cardoso,1.6229667426615424
pablo picasso,6.074954026521607
paco aguilar,2.6903276975074704
pat andrea,2.6935580269551123
paul delvaux,2.71630613829008
paul mathieu,2.68259120580551
paul wunderlich,2.709731991389688
paula carreira,2.68259120580551
paula rego,3.4725616702514395
paulo falcão,2.6890518647007946
paulo ferreira,1.105873285346937
paulo hernani,2.6890518647007946
paulo neves,2.709731991389688
paulo ossião,4.865785492630028
paulo teixeira pinto,2.6890518647007946
paulo violante,2.709731991389688
pauloguilherme d'eça leal,1.063511525366414
pedro buisel,2.7026790014954374
pedro calapez,2.6980641892094304
pedro casqueiro,2.699448672047795
pedro castanheira,2.707185163749755
pedro charters d'azevedo,3.1308873095900456
pedro chorão,4.899831148036593
pedro duarte freitas,2.68259120580551
pedro empis,0.0
pedro homem de mello,3.773609076404861
pedro mónica,2.6903276975074704
pedro olaio,2.764716329617583
pedro olayo filho,2.699448672047795
pedro pintocoelho,1.2911078089398775
pedro portugal,5.474014898624659
pedro proença,1.5129274333041303
pedro saraiva,2.699391928045241
pep agut,2.699448672047795
philippe starck,3.4810208365837854
piero fornasetti,3.128008935334821
pietrina checcacci,2.6890518647007946
pires vieira,2.68259120580551
pol gachon,0.5151737422263861
pol gachonn.,2.709731991389688
prudência,2.7026790014954374
querubim lapa,1.8444397270569677
quintino sebastião,2.6890518647007946
r. bonfim dias –,2.68259120580551
rafael bordalo pinheiro,2.709731991389688
rafael canogar,4.105511173968494
rafael casado,2.709731991389688
raul da costa camelo,4.162904523233859
raul de andrade,2.709731991389688
raúl indipwo,2.709731991389688
raúl perez,2.6903276975074704
real bordalo,4.226040305545414
regina alexandre,2.71630613829008
rené bértholo,3.005989493109576
