,URL,Auction Number
191,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-411,411
123,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-410,410
508,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-409,409
173,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-408,408
485,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-407,407
238,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-406,406
246,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-405,405
97,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-404,404
517,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-403,403
53,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-402,402
411,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-401,401
52,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-400,400
420,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-399,399
63,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-398,398
492,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-397,397
233,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-396,396
72,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-395,395
424,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-394,394
378,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-393,393
199,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-392,392
36,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-391,391
568,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-390,390
539,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-389,389
58,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-388,388
224,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-387,387
401,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-386,386
347,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-385,385
380,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-384,384
144,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-383,383
260,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-382,382
291,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-381,381
32,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-380,380
198,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-379,379
479,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-378,378
15,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-377,377
330,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-376,376
397,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-375,375
468,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-374,374
185,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-373,373
176,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-372,372
20,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-371,371
22,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-370,370
166,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-369,369
444,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-368,368
162,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-367,367
202,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-366,366
297,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-365,365
261,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-364,364
105,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-363,363
554,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-362,362
431,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-361,361
339,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-360,360
489,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-359,359
182,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-358,358
566,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-357,357
496,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-356,356
250,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-355,355
195,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-354,354
497,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-353,353
90,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-352,352
333,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-351,351
265,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-350,350
391,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-349,349
212,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-348,348
67,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-347,347
184,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-346,346
221,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-345,345
280,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-344,344
145,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-343,343
563,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-342,342
571,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-341,341
172,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-340,340
216,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-339,339
303,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-338,338
47,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-337,337
535,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-336,336
425,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-335,335
527,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-334,334
320,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-333,333
340,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-332,332
74,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-331,331
519,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-330,330
259,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-329,329
300,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-328,328
220,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-327,327
342,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-326,326
352,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-325,325
521,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-324,324
139,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-323,323
326,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-322,322
6,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-321,321
442,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-320,320
344,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-319,319
301,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-318,318
447,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-317,317
423,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-316,316
435,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-315,315
81,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-314,314
367,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-313,313
341,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-312,312
351,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-311,311
147,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-310,310
526,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-309,309
104,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-308,308
561,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-307,307
219,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-306,306
187,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-305,305
515,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-304,304
309,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-303,303
557,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-302,302
443,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-301,301
165,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-300,300
264,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-299,299
188,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-298,298
331,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-297,297
205,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-296,296
569,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-295,295
136,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-294,294
556,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-293,293
285,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-292,292
236,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-291,291
35,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-290,290
226,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-289,289
66,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-288,288
529,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-287,287
486,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-286,286
481,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-285,285
298,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-284,284
288,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-283,283
325,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-282,282
283,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-281,281
337,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-280,280
370,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-279,279
437,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-277,277
532,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-276,276
315,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-275,275
328,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-274,274
306,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-273,273
560,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-272,272
237,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-270,270
395,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-269,269
262,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-268,268
207,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-267,267
409,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-266,266
87,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-265,265
278,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-264,264
490,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-263,263
140,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-262,262
480,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-261,261
93,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-260,260
398,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-259,259
318,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-258,258
478,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-257,257
311,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-256,256
106,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-255,255
252,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-254,254
231,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-253,253
361,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-252,252
540,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-251,251
110,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-250,250
39,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-249,249
321,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-248,248
126,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-247,247
103,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-246,246
151,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-245,245
171,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-244,244
46,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-243,243
523,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-242,242
355,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-241,241
294,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-240,240
511,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-239,239
407,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-238,238
500,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-237,237
276,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-236,236
142,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-235,235
368,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-234,234
381,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-233,233
541,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-232,232
552,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-231,231
209,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-230,230
512,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-229,229
474,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-228,228
484,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-227,227
175,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-226,226
475,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-225,225
316,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-224,224
